date_debut,date_fin,titre_court,description_rapide,categorie,pays
2020-07-21,2021-12-31,NextGenerationEU et relance post-crise,Plan de relance européen de 750 milliards d’euros pour la reprise économique,Économie/Logistique,EU27
2020-12-24,2021-12-31,Accord commercial UE-UK (Trade and Cooperation Agreement),Cadre d'échanges post-Brexit entre UE et Royaume-Uni,Politique/Économie,EU27/Royaume-Uni
2022-02-24,2022-02-24,Réaction de l'UE à l'invasion russe de l'Ukraine,Imposition de sanctions et renforcement de la sécurité énergétique et de la solidarité européenne,Géopolitique/Global,EU27/Russie
2023-10-05,2023-10-05,3e Sommet de l'Europe Politique (EPC) à Grenade,Premier sommet EPC post-2022 rassemblant un large éventail de pays européens,Politique/Geopolitique,EU27/UK
2024-07-18,2024-07-18,4e Sommet de l'Europe Politique (EPC) à Blenheim Palace (UK),"Rencontre des dirigeants EPC pour coordonner sécurité, économie et démocratie",Politique/Geopolitique,EU27/UK
2025-05-16,2025-05-16,6e Sommet EPC à Tirana (Albanie),Nouvelle édition du format EPC pour accélérer la coopération européenne élargie,Politique/Geopolitique,EU27/Albanie
2013-03-03,2013-04-01,Entrée en application de l'EUTR,Mise en œuvre des obligations pour les opérateurs et vendeurs de bois afin d'empêcher le marché des produits issus de la déforestation illégale,Politique/Juridique/Économie/Logistique,EU27
2016-11-15,2016-12-15,Lancement des licences FLEGT en Indonésie,Lancement officiel des licences FLEGT attestant de la légalité des produits bois exportés vers l'UE,Géopolitique/Économie/Logistique,Indonésie/EU
2023-06-29,2025-12-30,Entrée en application de la régulation déforestations (EUDR),"La réglementation vise à assurer que les produits, dont le bois, placés sur le marché EU ne proviennent pas de déforestation",Politique/Environnement/Économie/Juridique,EU27
2024-12-18,2025-12-18,Postponement de l'entrée en application de l'EUDR,Report de l'application de l'EUDR d'un an pour permettre l'adaptation et la préparation des opérateurs,Politique/Environnement/Juridique,EU27
2024-12-06,2025-01-06,Lancement du système d'information EUDR,Mise en place du système d'information permettant de soumettre et gérer les déclarations de diligence raisonnable,Technologie/Logistique/Environnement,EU27
2025-12-04,2026-01-04,Accord provisoire sur une révision ciblée de l'EUDR,Accord entre Conseil/Parlement sur une révision visant à simplifier et ajuster l'application de la régulation,Politique/Économie/Environnement,EU27
2016-11-15,2016-12-15,Lancement des licences FLEGT pour les produits indonésiens,"Les produits listés nécessitent une licence FLEGT pour entrer dans l'UE, marquant un jalon majeur de la lutte contre l'exploitation illégale",Logistique/Politique/Économie,Indonésie/EU
2012-02-21,2012-02-21,Plan de sauvetage grec,Signature des accords de financement et mesures de réformes pour la Grèce,Politique/Economie,EU27
2015-09-01,2015-09-30,Crise migratoire européenne,Accords et mesures pour accueillir et répartir les migrants,Politique/Social,EU27
2016-06-23,2016-06-24,Référendum sur le Brexit,Le Royaume-Uni vote pour la sortie de l’Union européenne,Politique/Géopolitique,EU27
2017-03-29,2019-03-29,Démarrage des négociations Brexit,Ouverture des négociations officielles entre l’UE et le Royaume-Uni,Politique/Géopolitique,EU27
2020-01-01,2020-12-31,COVID-19 et confinement,Réponses health/economiques coordonnées,Santitaire/Économie,EU27
2020-07-01,2021-12-31,Plan NextGenerationEU,Mécanisme de relance et financement européen post-pandémie,Économie/Politique,EU27
2021-12-01,2023-12-31,Déploiement de la vaccination européenne,Campagne de vaccination et coordination sanitaire,Santé/Logistique,EU27
2022-02-24,2022-03-01,Invasion de l’Ukraine par la Russie,Réaction européenne et sanctions ciblées,Géopolitique/Économie,EU27
2022-04-01,2023-12-31,Plan REPowerEU pour l’énergie,Diversification des sources d’énergie et réduction de dépendance,Économie/Environnement,EU27
2023-07-01,2023-12-31,Cadre révisé de l’AI et cybersécurité,Renforcement des règles et normes numériques,Technologie/Juridique,EU27
2024-02-01,2024-12-31,Avancées du PACTE Vert Européen,Progrès majeurs vers la neutralité climatique,Environnement/Économie,EU27
2024-03-01,2024-12-31,Réformes économiques post-pandémie,Renforcement du marché unique et de la convergence,Économie/Politique,EU27
2024-11-01,2025-12-31,Extension et intégration des cadres numériques,Harmonisation des règles digitales,Technologie/Juridique,EU27
2025-01-15,2025-12-31,Élection générale européenne (hypothétique perspective),Changements politiques potentiels au niveau UE,Politique,EU27
2022-04-08,2022-07-10,Interdiction d'importation du bois russe,Embargo sur le bois russe dans l'UE après invasion,Politique/Géopolitique/Économie,EU15
2023-06-29,2024-12-09,Règlement UE sur le déforestation/importation de produits liés à la déforestation (EUDR),Règle nouvelle renforçant traçabilité et géolocalisation,Politique/Environnement/Juridique,EU15
2020-01-31,2020-12-31,Brexit et commerce du bois entre EU15 et Royaume-Uni,Nouvelles règles douanières et de traçabilité des bois,Politique/Economie/Logistique,EU15/UK
2013-03-03,2013-04-03,Mise en place de la diligence raisonnable pour le commerce du bois,Obligations de traçabilité et diligence des opérateurs et traders,Économie/Logistique/Juridique,EU15
2012-10-01,2012-12-01,Fiscal Compact: entrée en vigueur,Adoption du traité imposant la coordination budgétaire et le contrôle de deficits,Politique/Juridique,EU15
2013-01-01,2013-12-01,Création de l’Union bancaire,Mise en place des mécanismes pour superviser les banques et prévenir les crises,Économie/Juridique,EU15
2014-05-01,2014-05-01,Élections européennes 2014,Renforcement du débat sur l’orientation politique et économique de l’UE,Politique,EU15
2015-11-01,2015-12-01,Crise des migrants et réglementation européenne,Réponse coordonnée de l’UE face aux flux migratoires et à l’asile,Géopolitique/Social,EU15
2016-06-01,2016-06-01,Référendum sur le Brexit,"Le Royaume-Uni vote pour quitter l’UE, déclenchant des négociations",Géopolitique,EU15
2017-05-01,2017-05-01,RGPD: entrée en vigueur,Renforcement de la protection des données personnelles dans l’UE,Technologie/Juridique,EU15
2018-06-01,2018-12-01,Renforcement de Frontex,Renforcement des contrôles et capacités de l’agence européenne des frontières,Géopolitique/Sécurité,EU15
2019-05-01,2019-05-01,Élections européennes 2019,Poussée de certains partis et évolution du paysage politique européen,Politique,EU15
2020-07-01,2021-07-01,Plan NextGenerationEU approuvé,Mise en place d’un important instrument de relance post-COVID,Économie/Global,EU15
2021-07-01,2021-12-01,Pacte vert pour l’Europe,Ambition de transition énergétique et climatique à l’échelle européenne,Environnement/Économie,EU15
2022-03-01,2022-12-01,Crise énergétique et dépendance énergétique,Réponses européennes à la flambée des prix de l’énergie,Économie/Géopolitique,EU15
2023-12-01,2024-12-01,Réforme du droit d’asile et des contrôles,Mesures communes sur l’asile et la gestion des frontières,Géopolitique/Social,EU15
2024-05-01,2024-11-01,Élections européennes 2024,Renouvellement des mandats et orientations politiques européennes,Politique,EU15
2025-02-01,2025-12-01,Soutien à l’Ukraine et posture européenne,Aide humanitaire et soutien de sécurité,Géopolitique/Global,EU15
2014-06-27,2014-07-27,Modification du cadre FLEGT/Licensing (657/2014) et renforcement des pouvoirs de la Commission,Renforcement des pouvoirs pour les actes délégués et les actes d’exécution liés au FLEGT,Juridique/Politique,EU28
2022-03-02,2022-06-02,Sanctions de l’UE sur le bois et produits dérivés en provenance de Belarus,Interdiction d’importer du bois provenant de Belarus,Politique/Logistique/Économie,Belarus
2023-06-01,2023-12-31,Entrée en vigueur de la réglementation EU sur la déforestation (EUDR),Renforcement des contrôles à la frontière et géolocalisation du bois importé,Politique/Environnement/Juridique,EU28
2024-03-02,2024-04-02,Cas d’importation illégale de bois russe en Belgique malgré les sanctions,"Importation de bois russe interdite par les sanctions, démontrant des flux résiduels",Politique/Logistique/Environnement,Russia
2012-03-01,2013-02-01,Pacte budgétaire européen signé,Adoption du Pacte budgétaire (fiscal compact) pour renforcer la discipline budgétaire dans l’UE,Politique/Juridique/Economie,EU27
2013-05-01,2013-06-01,Fond européen pour la stabilité financière,Création d’un cadre commun de soutien financier et de gestion des crises entre États membres,Économie/Géopolitique,EU27
2014-05-01,2015-06-01,Lancement du programme d’assistanceskonomies,Mécanisme européen de stabilité et réformes structurelles,Économie/Juridique,EU27
2015-11-01,2015-12-01,Crise migratoire majeure,"Arrivée massive de réfugiés et migrants en Europe, répercussions sur les politiques d’asile et de sécurité",Société/Politique/Logistique,EU27
2016-06-01,2016-06-01,Référendum sur le Brexit,Royaume-Uni vote pour quitter l’Union européenne,Politique/Geopolitique,EU27/UK
2017-05-01,2018-05-01,Règlement général sur la protection des données (RGPD) entre en vigueur,Harmonisation stricte de la protection des données personnelles dans l’UE,Juridique/Technologie,EU27
2018-05-01,2018-05-01,Entrée en vigueur du règlement ePrivacy (prochain cadre du RGPD),Adaptation des règles de confidentialité et de communications électroniques,Juridique/Technologie,EU27
2019-05-01,2019-05-01,Élections européennes 2019,"Élections au Parlement européen, redéfinissant les majorités et les positions politiques",Politique/Géopolitique,EU27
2020-01-01,2020-01-01,Brexit officiellement effectif, Royaume-Uni quitte officiellement l’Union européenne,Politique/Geopolitique,EU27/UK
2020-12-01,2021-07-01,Plan de relance NextGenerationEU,Lancement d’un paquet de relance de 750 milliards d’euros en faveur des États membres,Économie/Politique,EU27
2022-02-01,2022-02-01,Invasion de l’Ukraine et crise énergétique Europe,Impact géopolitique majeur et crise énergétique dans l’UE,Géo-politique/Économie/Environnement,EU27
2023-03-01,2024-12-01,Poursuite de la transition numérique européenne,Cadre renforcé pour la numérisation et la souveraineté technologique européenne,Technologie/Géopolitique,EU27
2024-04-01,2025-04-01,Élargissement potentiel et révision du cadre budgétaire,Discutions sur l’avenir du budget européen et les instruments de financement,Économie/Politique,EU27
2025-01-01,2025-12-01,Renforcement des objectifs climatiques UE,Avancement vers les objectifs climatiques et accords sur les énergies renouvelables,Environnement/Sanitaire,EU27
2013-03-03,2013-04-30,Entrée en vigueur de l'EUTR (Règlement bois de l'UE),Règlementation européenne interdisant le commerce du bois illégal et imposant une diligence raisonnable,Politique/Juridique/Économie/Logistique,EU27/Germany
2023-05-31,2023-12-31,Règlement UE sur la déforestation (Règlemen. déforestation) et importations liées,Renforcement des exigences pour les importations européennes afin d'éviter les produits issus de déforestation,Politique/Économie/Environnement/Logistique,EU27/Germany
2018-06-01,2018-06-30,Appel des scieries allemandes pour limiter les exportations de rondins vers la Chine,Appel pour réduire les exportations de bois brut afin de préserver les ressources domestiques,Économie/Logistique/Politique,Germany/China
2019-01-15,2019-12-31,Impact des règles de conservation sur l'approvisionnement en hêtre en Allemagne,Contractions de l'offre de bois d'œuvre due à des règles de conservation et à des interfaces forestières,Environnement/Économie/Social,Germany
2020-03-01,2020-12-31,COVID-19 et perturbations des chaînes d'approvisionnement bois en Allemagne,Perturbations des importations et des délais logistiques dans le secteur du bois,Économie/Logistique/Sanitaire,Germany
2021-05-10,2021-05-31,Mise à jour des exigences de traçabilité du bois en Allemagne,Renforcement des contrôles et des vérifications de traçabilité pour les importations de bois,Logistique/Juridique/Économie,Germany
2012-11-01,2013-03-02,Antériorisation des cadres informing sur le bois et le commerce,Campagne d'information et préparation des entreprises à l'EUTR,Environnement/Société/Économie,Germany
2015-09-01,2015-12-31,Renforcement des obligations de diligence raisonnable pour les importateurs allemands,Renforcement des règles internes de vérification de conformité des importations de bois,Politique/Juridique/Économie/Logistique,Germany/EU27
2024-02-01,2024-12-31,Évolutions des contrôles post-EUTR et impact sur les échanges Allemagne-UE,"Évolutions des contrôles et des sanctions, adaptation des chaînes d'approvisionnement",Politique/Juridique/Économie/Logistique,Germany/EU27
2013-09-22,2013-12-31,Élection fédérale et début du 3e mandat Merkel,Les résultats conduisent à la formation d'une coalition CDU/CSU-SPD et Merkel devient chancelière pour la troisième fois,Politique/Géopolitique/Économie,Allemagne
2015-09-15,2015-12-31,Crise des migrants en Allemagne,L'arrivée massive de réfugiés et l'annonce d'ouverture des frontières par Merkel influencent les débats et les politiques migratoires,Politique/Social,Allemagne
2015-09-18,2015-12-31,Scandale diesel VW (dieselgate),Révélations selon lesquelles VW et certaines filiales auraient manipulé les tests d'émissions,Économie/Technologie,Allemagne
2018-03-14,2018-12-31,Formation du 4e cabinet Merkel,Le gouvernement CDU/CSU–SPD prend ses fonctions après les élections de 2017,Politique,Allemagne
2020-03-11,2020-12-31,COVID-19 en Allemagne,"La pandémie de COVID-19 conduit à des confinements, mesures sanitaires et aides économiques",Santé/Économie,Allemagne
2021-07-14,2021-07-18,Inondations catastrophiques dans l'Ouest de l'Allemagne,Inondations record dans Rhineland-Palatine et Nordrhein-Westfalen provoquant des pertes humaines et matérielles,Environnement/Social,Allemagne
2022-02-24,2022-12-31,Réorientation énergétique face à la guerre en Ukraine,"Réévaluation des importations d'énergie et du mix énergétique, accélération des alternatives",Économie/Environnement,Allemagne
2021-12-08,2021-12-31,Scholz devient chancelier,"Olaf Scholz prête serment et devient chancelier, marquant la fin du chapitre Merkel et le début du gouvernement de coalition SPD/Grünes/FDP",Politique,Allemagne
2025-04-09,2025-12-31,Coalition CDU/CSU-SPD-Greens signée,"Annonce d'un accord de coalition entre CDU/CSU, SPD et Grünen pour former le gouvernement",Politique/Économie,Allemagne
2013-03-03,2013-04-30,Entrée en vigueur de l'EUTR,"Règlement (CE) n°995/2010 appliqué dans l'Union européenne, imposant la diligence raisonnable pour les transactions de bois et produits dérivés",Politique/Juridique/Économie/Logistique,EU27
2014-12-25,2015-01-31,Mise en œuvre italienne du DLgs 178/2014,Entrée en vigueur en Italie des obligations de diligence et des sanctions liées à l'EUTR et au cadre FLEGT,Politique/Juridique/Économie,Italie
2015-06-01,2015-07-31,Premiers contrôles EUTR en Italie,Carabinieri Forestali et autorités douanières lancent les premiers contrôles ciblés sur la diligence et les registres,Politique/Juridique/Logistique,Italie
2017-05-01,2017-06-30,Publication du rapport EUTR 2017-2018 et rôle de l'Italie,Rapport EU montrant le rôle central de l'Italie dans l'importation de bois et produits dérivés soumis à l'EUTR,Économie/Politique/Logistique,Italie
2019-10-01,2019-11-30,Renforcement des exigences de traçabilité en Italie,Dispositions complémentaires sur le registre des opérateurs et la traçabilité des livraisons de bois,Juridique/Économie/Logistique,Italie
2020-03-09,2020-06-01,COVID-19 et chaînes d'approvisionnement du bois en Italie,Confinement et restrictions affectant l'import/export et la logistique du bois,Santaire/Économie/Logistique,Italie
2023-05-31,2024-12-31,Règlement UE 2023/1115 remplaçant l'EUTR,Mise en application du nouveau cadre relatif à la commercialisation et à l'exportation de matières premières et produits liés à la déforestation (entrée en vigueur 30/12/2024),Politique/Environnement/Global/Économie,EU27
2024-12-30,2025-01-31,Transition vers le cadre Forest/Deforestation de l'UE,Période de transition et adaptation des opérateurs au nouveau réglementaire post-EUTR,Politique/Économie/Logistique,Italie/UE
2014-02-22,2014-02-28,Renzi devient premier ministre,Matteo Renzi devient le plus jeune premier ministre italien et prend la tête d’un gouvernement de réforme.,Politique/Géopolitique/Économie,Italy
2016-12-04,2016-12-04,Référendum constitutionnel rejeté,Les Italiens rejettent une réforme constitutionnelle visant à remodeler les pouvoirs entre Parlement et Sénat,Politique/Juridique,Italy
2018-03-04,2018-03-04,Élections générales italiennes 2018,"Élections législatives ayant créé une configuration politique instable, menée par un bloc centre-droit et un mouvement M5S/PD",Politique/Géopolitique,Italy
2019-09-04,2019-09-05,Conte bis chargé de former le gouvernement,Giuseppe Conte obtient le mandat puis prête serment d’un nouveau gouvernement M5S-PD pour la période 2019-2021,Politique/Économie,Italy
2019-09-05,2019-09-05,Gouvernement Conte II prêté serment,"Le nouveau cabinet Conte II, composé majoritairement de M5S et PD, prête serment à Rome.",Politique,Italy
2020-03-09,2020-04-03,Extension du confinement national,Le gouvernement étend les mesures de confinement à l’ensemble du territoire italien pour endiguer la pandémie de COVID-19.,Santé/Social/Économie,Italy
2021-02-13,2021-02-13,Draghi devient premier ministre,Mario Draghi est investi premier ministre pour piloter la sortie de la pandémie et mobiliser les fonds européens,Politique/Économie/Global,Italy
2021-02-13,2022-02-12,Gouvernement Draghi en place,Le cabinet Draghi sert de genouillère politique et conduit l’Italie jusqu’aux élections ultérieures.,Politique/Économie,Italy
2022-10-22,2022-10-22,Meloni devient premier ministre,Giorgia Meloni prend la tête du premier gouvernement italien issu d’un parti post-fasciste contemporain,Politique/Géopolitique,Italy
2023-11-03,2023-11-03,Propositions de réforme constitutionnelle annoncées,Le gouvernement Meloni pousse des réformes pour stabiliser le système politique et envisager l’élection directe du Premier ministre,Politique/Juridique/Global,Italy
2024-12-31,2025-12-31,Situation économique et stabilité politique,Italie poursuit des réformes structurelles et ajuste sa politique budgétaire dans un contexte économique incertain,Économie/Social,Italy
2013-03-03,2013-04-30,Application du règlement UE 995/2010 (EUTR) en Espagne,Le Règlement Holz-Handels-Verordnung (EUTR) est applicable dans l'UE à partir du 3 mars 2013 et impose la diligence raisonnable pour toutes les ventes de bois et dérivés,Politique/Juridique/Économie/Logistique,Spain
2013-03-11,2013-04-11,Publication de l'Orden AAA/458/2013 sur les emballages de bois,"Normalise les emballages en bois et le registre des opérateurs liés au bois, avec entrée en vigueur le 1er juillet 2013",Foires/Logistique/Juridique,Spain
2025-12-30,2026-01-31,Possible abrogation partielle de l'EUTR par l'EUDR pour les grandes entreprises,"Actualisation de la réglementation avec la transition vers l'EUDR, calendrier clarifiant les obligations selon la taille des opérateurs",Politique/Juridique/Économie,Spain
2025-06-30,2025-12-31,Mise en place du Due Diligence System (DDS) en Espagne en prévision de l'EUDR,Les opérateurs espagnols renforcent leurs systèmes de diligence raisonnable et préparent les déclarations DDS pour la mise sur le marché de bois et produits dérivés,Technologie/Économie/Logistique,Spain
2012-06-09,2012-06-29,Aide bancaire à l'Espagne par l'UE,Les ministres des finances de la zone euro approuvent un mécanisme de soutien jusqu'à 100 milliards d'euros pour recapitaliser les banques espagnoles,Politique/Géopolitique/Économie,EU/Spain
2014-01-16,2014-01-16,Fondation de Podemos,Podemos est officiellement lancé en janvier 2014 comme mouvement politique d'opposition à l'austérité,Politique,Spain
2014-05-25,2014-05-25,Élections européennes 2014 - Podemos obtient des sièges,Podemos remporte une part significative des voix et obtient 5 sièges au Parlement européen,Politique/Économie,EU27/Spain
2017-10-01,2017-10-21,Référendum sur l'indépendance en Catalogne,"Référendum d'autodétermination en Catalogne le 1er octobre, déclaré illégal par Madrid",Géopolitique/Politique,Spain/Catalogne
2017-10-21,2017-10-27,Activation de l'article 155 de la Constitution espagnole,Rajoy annonce l'application de l'article 155 pour reprendre le contrôle de Catalogne et convoquer des élections,Géopolitique/Politique/Logistique,Spain/Catalogne
2017-10-27,2017-10-27,Suspension et prise de contrôle directe,"Le Sénat approuve les mesures et la Generalitat est dissoute, le contrôle est transféré à Madrid",Politique/Logistique,Spain
2020-01-07,2020-01-08,Investiture de Pedro Sánchez,Pedro Sánchez obtient une deuxième investiture et forme un nouveau gouvernement avec Unidas Podemos,Politique/Géopolitique,Spain
2020-03-14,2020-06-21,Déclaration de l'état d'alarme face au COVID-19,Le gouvernement déclare l'état d'alarme national pour contenir la pandémie,Santé/Sanitaire/Politique,Spain
2023-07-23,2023-08-17,Élections générales espagnoles 2023,"Le PP devient la première force au Parlement mais no majority clair, Sánchez reste en lice pour former un gouvernement",Politique/Économie,Spain
2024-01-30,2024-01-30,Échec d'un projet de loi d'amnistie catalan,Le Parlement rejette un texte d'amnistie pour les Catalans impliqués dans le mouvement indépendantiste,Politique/Autre,Spain
2025-04-11,2025-04-11,Assembleas de Podemos 5e (V Assemblée),"Rétrospective des cinq rassemblements internes du parti Podemos et des évolutions internes, depuis 2014 jusqu'à 2025",Politique/Organisation,Spain
2013-03-03,2013-04-30,Entrée en vigueur de l'EUTR au Royaume-Uni,Loi européenne interdisant la mise sur le marché de bois illégal et imposant une diligence raisonnable,Politique/Juridique/Économie/Logistique,Royaume-Uni
2017-11-03,2017-12-31,Premier amende UK pour non-conformité à l'EUTR,Designer furniture Lombok est condamné pour non-respect des obligations de diligence raisonnable,Politique/Juridique/Économie,Royaume-Uni
2020-01-01,2020-12-31,Brexit et les tarifs du bois entre UK et UE,Le Brexit entraîne des révisions tarifaires et des impacts sur les échanges de bois et produits wood-based entre le Royaume-Uni et l'UE,Politique/Économie/Logistique,Royaume-Uni/Union européenne
2020-06-01,2020-12-31,Implications du Brexit sur le commerce du bois (ITTO ITA rapport),Rapport et analyses sur les ajustements tarifaires et les règles douanières après le Brexit,Économie/Politique/Logistique,Royaume-Uni/Union européenne
2022-04-01,2025-03-31,Publication du UKTR 2022-2025,Rapport sur l'application de la réglementation du bois au Royaume-Uni couvrant 2022-2025,Politique/Économie/Environnement,Royaume-Uni
2025-04-01,2025-04-30,Sanctions Russie/Belarus et import bois au Royaume-Uni,Étude montrant les flux potentiellement contournés et les mesures de vérification post-sanctions,Politique/Économie/Environnement,Royaume-Uni/Union européenne
2020-11-01,2020-12-31,Impacts des sanctions et du cadre post-Brexit sur la chaîne d'approvisionnement du bois,Analyse des changements réglementaires et logistiques affectant l'import/export de bois au Royaume-Uni,Économie/Logistique,Royaume-Uni
2013-04-01,2013-04-30,Consultation et adoption des mesures UK pour l'EUTR,Processus de consultation et adoption des mécanismes de diligence raisonnable au Royaume-Uni,Politique/Juridique,Royaume-Uni
2012-07-27,2012-08-12,Jeux Olympiques de Londres 2012,Londres accueille les Jeux Olympiques d’été avec des manifestations sportives mondialement suivies,Global/Économie/Politique,United Kingdom
2013-09-01,2013-09-01,Affaire de surveillance et de sécurité au Royaume-Uni,Renforcement des mesures de sécurité et de surveillance après des incidents en Europe,Politique/Sécurité/Technologie,United Kingdom
2014-09-18,2014-09-19,Référendum sur l’indépendance de l’Écosse,Les Écossais votent sur leur éventuelle indépendance vis-à-vis du Royaume-Uni,Politique/Géopolitique/Autre,United Kingdom
2015-05-07,2015-05-08,Élections générales britanniques 2015,Contexte politique avec basculement possible des majorités parlementaires,Politique/Économie,United Kingdom
2016-06-23,2016-06-24,Référendum sur le Brexit,Le Royaume-Uni vote en faveur du Brexit par rapport à l’UE,Géopolitique/Économie,United Kingdom
2017-06-08,2017-06-09,Élections générales britanniques 2017,Renforcement ou réorientation des forces politiques au Parlement,Politique/Économie,United Kingdom
2018-11-01,2018-11-01,Budget et mesures économiques post-Brexit,Réformes et ajustements économiques dans le cadre de la sortie de l’UE,Économie/Politique,United Kingdom
2019-12-12,2019-12-13,Élections générales britanniques 2019,Succès du Parti conservateur et plan de sortie de l’UE,Politique/Économie,United Kingdom
2020-01-31,2020-01-31,Sortie officielle du Royaume-Uni de l’UE,Le Royaume-Uni quitte formellement l’Union européenne,Géopolitique/Économie,United Kingdom
2020-03-23,2020-07-04,Confinement lié au COVID-19,Première phase majeure de restrictions sanitaires et de confinement à l’échelle nationale,Sanitaire/Social/Économie,United Kingdom
2021-07-19,2021-07-19,Plan de vaccination et réouvertures progressives,Vaccination massive et assouplissement des mesures,Santé/Social/Économie,United Kingdom
2022-09-08,2022-09-09,Décès de la reine Élisabeth II,Décès et annonce d’un passage de témoin à Charles III,Politique/Global,United Kingdom
2023-05-06,2023-05-07,Cérémonie et couronnement du roi Charles III,Cérémonies royales et transition monarchique symbolique,Politique/Global,United Kingdom
2024-05-01,2024-05-02,Élections générales britanniques 2024,Renouvellement du parlement et réorientation politique,Politique/Économie,United Kingdom
2025-02-01,2025-02-01,Révision du cadre économique post-Brexit,Mesures économiques et ajustements structurants post-Brexit,Économie/Politique,United Kingdom
2013-03-03,2013-04-30,Implémentation de l'EUTR dans l'UE,Mise en œuvre des obligations de diligence raisonnable pour le bois et produits en bois importés,Politique/Juridique/Économie/Logistique,EU27
2014-03-11,2014-04-30,Système intérimaire EUTR mis en place aux Pays-Bas,Le NL annonce un système intérimaire avant adoption définitive,Politique/Juridique/Économie,NL
2016-03-08,2016-04-30,Action de l'NVWA contre un importateur néerlandais pour non-conformité à l'EUTR,Enforcement,Politique/Juridique/Économie,NL
2016-11-01,2016-12-31,Renforcement des audits EUTR par NVWA après actions,Audit et conformité,Politique/Logistique,NL
2019-01-01,2019-12-31,Échanges NL-UE sur traçabilité du bois et diligence,Relations EU/Netherlands,Politique/Économie,EU27/NL
2023-01-01,2023-12-31,Discussion sur détection de bois illégal dans chaîne d'approvisionnement néerlandaise,Environnement/Économie,Environnement/Économie,NL
2012-09-12,2012-12-31,Élections générales néerlandaises 2012,Élections qui mènent à la coalition VVD/PvdA et au gouvernement Rutte II,Politique/Géopolitique,NL
2013-01-01,2013-12-31,Lancement du gouvernement Rutte II,Premier mandat du cabinet VVD/PvdA après les élections,Politique/Économie,NL
2014-01-01,2014-12-31,Consolidation budgétaire et réformes,Mesures d’austérité et réformes structurelles dans l’économie néerlandaise,Économie,NL
2015-01-01,2015-12-31,Crise des réfugiés et accueil européen,Pays touché par la crise migratoire et politique d’accueil des réfugiés,Social/Politique,NL
2016-01-01,2016-12-31,Lutte contre le terrorisme et sécurité,nombres de mesures de sécurité intérieure et coopération européenne renforcée,Securité/Politique,NL
